age_months,L,M,S,p3,p15,p50,p85,p97,mean,sd
37.5,0.511429832,94.79643239,0.042104522,87.43482018,90.70376899745844,94.79643239,98.97729405009369,102.448488,94.79643239,3.991358473086268
38.5,0.482799937,95.37391918,0.042199507,87.95945137,91.24970815170599,95.37391918,99.5924895009087,103.0991159,95.37391918,4.024732370053844
39.5,0.455521041,95.94692677,0.042300333,88.47849954,91.7906118493491,95.94692677,100.20365245324084,103.7460086,95.94692677,4.058586952697615
40.5,0.429150288,96.51644912,0.042405225,88.99330218,92.32763454573342,96.51644912,100.81168824106948,104.3900531,96.51644912,4.092801741134652
41.5,0.403351725,97.08337211,0.042512706,89.50502066,92.86179268321436,97.08337211,101.41740703117857,105.0320405,97.08337211,4.127276856001029
42.5,0.377878239,97.6484807,0.042621565,90.01465759,93.39397528484754,97.6484807,102.02153027253107,105.6726719,97.6484807,4.161931067306295
43.5,0.352555862,98.21246579,0.042730809,90.52307278,93.92495578079867,98.21246579,102.62469483149674,106.3125633,98.21246579,4.1966981170915245
44.5,0.327270297,98.77593069,0.042839638,91.03099757,94.45540117159095,98.77593069,103.22745877942178,106.9522508,98.77593069,4.23152511387269
45.5,0.301955463,99.33939735,0.042947412,91.5390479,94.98588170531218,99.33939735,103.83030583934321,107.5921959,99.33939735,4.266370025822158
46.5,0.276583851,99.9033122,0.043053626,92.04773605,95.51687935711368,99.9033122,104.43365002419887,108.2327896,99.9033122,4.301199839620037
47.5,0.251158446,100.4680516,0.043157889,92.55748123,96.04879550157214,100.4680516,105.03784009595734,108.8743573,100.4680516,4.335989018999072
48.5,0.225705996,101.033927,0.043259907,93.06861913,96.58195787192119,101.033927,105.64316398568681,109.5171624,101.033927,4.370718285864789
49.5,0.20027145,101.6011898,0.043359463,93.58141046,97.11662750296635,101.6011898,106.24985243098729,110.1614111,101.6011898,4.405373029889078
50.5,0.174913356,102.1700358,0.043456406,94.09604867,97.65300434992497,102.1700358,106.85808303212478,110.8072554,102.1700358,4.439942556759335
51.5,0.149700081,102.7406094,0.043550638,94.61266684,98.19123284191713,102.7406094,107.46798373071898,111.4547971,102.7406094,4.474419087878798
52.5,0.12470671,103.3130077,0.043642107,95.13134395,98.73140670496164,103.3130077,108.07963675659245,112.1040915,103.3130077,4.508797336535224
53.5,0.100012514,103.8872839,0.043730791,95.65211042,99.27357401911817,103.8872839,108.69308077000099,112.7551501,103.8872839,4.543073099788565
54.5,0.075698881,104.4634511,0.043816701,96.17495324,99.81774068991668,104.4634511,109.30831546939531,113.4079442,104.4634511,4.577243802276821
55.5,0.051847635,105.0414853,0.043899867,96.69982047,100.36387488569538,105.0414853,109.92530342171423,114.0624076,105.0414853,4.611307234152456
56.5,0.02853967,105.6213287,0.043980337,97.2266254,100.91191040975832,105.6213287,110.54397361245115,114.7184401,105.6213287,4.645261630613772
57.5,0.005853853,106.2028921,0.044058171,97.75525036,101.46174971589397,106.2028921,111.16422345725871,115.3759096,106.2028921,4.679105180836349
58.5,-0.016133871,106.7860583,0.04413344,98.28555005,102.01326734807725,106.7860583,111.78592240105198,116.0346553,106.7860583,4.712836096819552
59.5,-0.037351181,107.3706841,0.044206218,98.81735475,102.56631276874003,107.3706841,112.40891321762591,116.6944901,107.3706841,4.746451868133734
60.5,-0.057729947,107.9566031,0.044276588,99.35047319,103.12071246766519,107.9566031,113.0330157464673,117.3552032,107.9566031,4.779950037338223
61.5,-0.077206672,108.5436278,0.044344632,99.88469514,103.67627308507416,108.5436278,113.65802802402585,118.0165629,108.5436278,4.81332723073597
62.5,-0.09572283,109.1315521,0.044410436,100.4197939,104.23278332082027,109.1315521,114.28372956536752,118.6783183,109.1315521,4.846579810117715
63.5,-0.113225128,109.7201531,0.044474084,100.9555286,104.79001634064474,109.7201531,114.90988261315263,119.3402023,109.7201531,4.87970330546226
64.5,-0.129665689,110.3091934,0.044535662,101.4916463,105.34773158335193,110.3091934,115.5362350809845,120.0019338,110.3091934,4.91269295275503
65.5,-0.145002179,110.8984228,0.044595254,102.0278838,105.90567684901406,110.8984228,116.162521911745,120.6632194,110.8984228,4.945543332965392
66.5,-0.159197885,111.4875806,0.044652942,102.5639698,106.46359052826745,111.4875806,116.78846752944972,121.3237564,111.4875806,4.978248470252125
67.5,-0.172221748,112.0763967,0.044708809,103.0996264,107.02120235030965,112.0763967,117.41378739724895,121.9832342,112.0763967,5.010802213468531
68.5,-0.184048358,112.6645943,0.044762936,103.6345709,107.57823630848128,112.6645943,118.03819051940462,122.6413368,112.6645943,5.043198024116865
69.5,-0.194660215,113.2518902,0.044815402,104.1685175,108.13441123092423,113.2518902,118.66138008148286,123.297745,113.2518902,5.07542898657286
70.5,-0.204030559,113.8380006,0.044866288,104.7011761,108.68944391231709,113.8380006,119.28305782809709,123.9521353,113.8380006,5.1074885202637725
71.5,-0.212174408,114.4226317,0.044915672,105.2322625,109.24304661668353,114.4226317,119.90292027295823,124.6041916,114.4226317,5.139369394814002
72.5,-0.219069129,115.0054978,0.044963636,105.7614857,109.79493439704233,115.0054978,120.52066822273494,125.2535916,115.0054978,5.171065341078001
73.5,-0.224722166,115.5863089,0.045010259,106.2885612,110.34482190509482,115.5863089,121.13600177766259,125.9000218,115.5863089,5.202569700443005
74.5,-0.229140412,116.1647782,0.045055624,106.8132066,110.89242622833517,116.1647782,121.74862510620561,126.5431735,116.1647782,5.233876568622597
75.5,-0.232335686,116.7406221,0.045099817,107.3351443,111.43746764514945,116.7406221,122.35824707419877,127.1827453,116.7406221,5.264980693176155
76.5,-0.234324563,117.3135622,0.045142924,107.8541019,111.97967186605116,117.3135622,122.96458296731414,127.8184451,117.3135622,5.295877222563873
77.5,-0.235128195,117.8833259,0.045185036,108.3698135,112.51877002368647,117.8833259,123.56735576617342,128.4499914,117.8833259,5.326562324591232
78.5,-0.234772114,118.4496481,0.045226249,108.8820206,113.0545002730566,118.4496481,124.16629793717873,129.0771148,118.4496481,5.3570332789329775
79.5,-0.233286033,119.0122722,0.045266662,109.3904733,113.5866089552929,119.0122722,124.76115222411616,129.69956,119.0122722,5.387288299529396
80.5,-0.230703633,119.5709513,0.045306383,109.8949308,114.11485102036951,119.5709513,125.35167368713572,130.3170863,119.5709513,5.417327315272148
