age_months,L,M,S,p3,p15,p50,p85,p97,mean,sd
50.5,-3.116795864,15.2575692,0.079297841,13.49870449,14.18102252938207,15.2575692,16.77722512,18.64667225,15.2575692,1.2098922964680972
51.5,-3.159107331,15.23967338,0.079646006,13.48064637,14.161820045791615,15.23967338,16.76927159,18.66785338,15.23967338,1.2137791174615202
52.5,-3.196911083,15.22347371,0.080030389,13.46310899,14.143641129502573,15.22347371,16.76374505,18.6922946,15.22347371,1.2183405229425732
53.5,-3.230276759,15.20894491,0.080450145,13.44610041,14.126477622965957,15.20894491,16.76060449,18.71991859,15.20894491,1.223561823306512
54.5,-3.259300182,15.19606152,0.080904391,13.42962877,14.110321400454483,15.19606152,16.75980884,18.75064919,15.19606152,1.2294281028741345
55.5,-3.284099963,15.18479799,0.081392203,13.41370222,14.095164456647394,15.18479799,16.76131695,18.78441142,15.18479799,1.235924160516072
56.5,-3.30481415,15.17512871,0.081912623,13.39832882,14.0809988310457,15.17512871,16.76508763,18.82113141,15.17512871,1.2430345969987062
57.5,-3.321596954,15.16702811,0.082464661,13.38351658,14.067816660849846,15.16702811,16.77107966,18.86073644,15.16702811,1.2507438314686206
58.5,-3.334615646,15.16047068,0.083047295,13.36927334,14.055610188542714,15.16047068,16.77925184,18.90315485,15.16047068,1.2590360809008105
59.5,-3.344047622,15.15543107,0.083659478,13.35560679,14.04437176855897,15.15543107,16.78956298,18.94831604,15.15543107,1.2678954521811814
60.5,-3.35007771,15.15188405,0.084300139,13.34252439,14.034093818118286,15.15188405,16.80197195,18.99615046,15.15188405,1.2773059315268829
61.5,-3.352893805,15.14980479,0.0849682,13.33003322,14.024768815474028,15.14980479,16.81643792,19.04658918,15.14980479,1.287251643357678
62.5,-3.352691376,15.14916825,0.085662539,13.31814053,14.016389413971497,15.14916825,16.83291965,19.09956514,15.14916825,1.2977162160331868
63.5,-3.34966438,15.14994984,0.086382035,13.3068531,14.008948288310444,15.14994984,16.85137625,19.15501183,15.14994984,1.3086834973271244
64.5,-3.343998803,15.15212585,0.087125591,13.29617673,14.00243809382973,15.15212585,16.87176785,19.21286229,15.15212585,1.3201379195876273
65.5,-3.335889574,15.15567186,0.087892047,13.28611805,13.996851707696985,15.15567186,16.89405345,19.27305261,15.15567186,1.3320630234356974
66.5,-3.325522491,15.16056419,0.088680264,13.27668282,13.992181987399226,15.16056419,16.91819285,19.33551875,15.16056419,1.344442834758146
67.5,-3.31307846,15.16677947,0.089489106,13.26787651,13.988421796714073,15.16677947,16.94414613,19.40019747,15.16677947,1.3572615356694537
68.5,-3.298732648,15.17429464,0.090317434,13.25970423,13.985564089570483,15.17429464,16.97187362,19.46702632,15.17429464,1.3705033546447538
69.5,-3.282653831,15.18308694,0.091164117,13.25217076,13.98360179717891,15.18308694,17.00133593,19.53594365,15.18308694,1.3841527142193322
70.5,-3.265003896,15.1931339,0.092028028,13.24528055,13.982527881795463,15.1931339,17.03249399,19.60688859,15.1931339,1.3981941519569492
71.5,-3.245937506,15.20441335,0.092908048,13.23903773,13.982335321193487,15.20441335,17.065309,19.67980103,15.20441335,1.4126123653336407
72.5,-3.225606516,15.21690296,0.093803033,13.23344678,13.983017281222322,15.21690296,17.09974172,19.75462234,15.21690296,1.4273916505146775
73.5,-3.204146115,15.2305815,0.094711916,13.22851054,13.984566546733136,15.2305815,17.13575468,19.83129333,15.2305815,1.4425175556591538
74.5,-3.181690237,15.24542745,0.095633595,13.22423251,13.98697619237642,15.24542745,17.17330968,19.90975644,15.24542745,1.4579750343551827
75.5,-3.158363475,15.26141966,0.096566992,13.22061564,13.990239189954682,15.26141966,17.21236911,19.9899546,15.26141966,1.4737493902158627
76.5,-3.134282833,15.27853728,0.097511046,13.21766256,13.99434851146313,15.27853728,17.25289572,20.07183146,15.27853728,1.4898261515227949
77.5,-3.109557879,15.29675967,0.09846471,13.21537563,13.999297094817702,15.29675967,17.29485256,20.15533137,15.29675967,1.5061910048462457
78.5,-3.084290931,15.31606644,0.099426955,13.2137569,14.0050778504052,15.31606644,17.33820304,20.24039941,15.31606644,1.52282984870689
79.5,-3.058577292,15.33643745,0.100396769,13.21280815,14.011683685873965,15.33643745,17.38291092,20.32698132,15.33643745,1.539728767950599
80.5,-3.032505499,15.35785274,0.101373159,13.21253087,14.019107432503587,15.35785274,17.42894029,20.41502357,15.35785274,1.5568740477106058
