age_months,L,M,S,p3,p15,p50,p85,p97,mean,sd
24.0,-0.20615245,12.6707633,0.108125811,10.38209025,11.34193515402899,12.6707633,14.19198290975441,15.59648294,12.6707633,1.3700365578015363
24.5,-0.216501213,12.74154396,0.108166006,10.4414422,11.405547271206744,12.74154396,14.272828194891655,15.68840631,12.74154396,1.3782019204266236
25.5,-0.239790488,12.88102276,0.108274706,10.55847309,11.530767759503695,12.88102276,14.432926473595469,15.87169941,12.88102276,1.3946889523183086
26.5,-0.266315853,13.01842382,0.108421025,10.67380261,11.653924761176386,13.01842382,14.591694268059639,16.05514188,13.01842382,1.4114708544488157
27.5,-0.295754969,13.1544966,0.10860477,10.78798157,11.775664724242008,13.1544966,14.749977114022775,16.23967114,13.1544966,1.4286410777087821
28.5,-0.327729368,13.28989667,0.108825681,10.90147346,11.896546868155891,13.28989667,14.908509336451162,16.42608957,13.28989667,1.446282055532382
29.5,-0.361817468,13.42519408,0.109083424,11.01466395,12.017051389077245,13.42519408,15.067923970546481,16.61507584,13.42519408,1.46446613811093
30.5,-0.397568087,13.56088113,0.109377581,11.12786972,12.137587231016981,13.56088113,15.228761949803642,16.80719583,13.56088113,1.4832563742279465
31.5,-0.434520252,13.69737858,0.109707646,11.24134752,12.258498889818222,13.69737858,15.391480296051887,17.00291386,13.69737858,1.5027071603826228
32.5,-0.472188756,13.83504622,0.110073084,11.3552982,12.38007384689964,13.83504622,15.5564626858231,17.2025984,13.83504622,1.5228662047179427
33.5,-0.510116627,13.97418299,0.110473254,11.46987889,12.502547280221071,13.97418299,15.724023150490796,17.40653734,13.97418299,1.5437734668967495
34.5,-0.547885579,14.1150324,0.1109074,11.58520959,12.626107740055009,14.1150324,15.89441274748001,17.61494698,14.1150324,1.5654615443997602
35.5,-0.58507011,14.25779618,0.111374787,11.70137143,12.750904079444847,14.25779618,16.067831645968194,17.8279717,14.25779618,1.5879590126369136
36.5,-0.621319726,14.40262749,0.111874514,11.81842214,12.877047911477316,14.40262749,16.244427202374755,18.04570363,14.40262749,1.6112869507667897
37.5,-0.656295986,14.54964614,0.112405687,11.93639129,13.004620242026233,14.54964614,16.424306717405706,18.26817893,14.54964614,1.6354629699735983
38.5,-0.689735029,14.69893326,0.112967254,12.05529277,13.133673717659514,14.69893326,16.607535827645393,18.49539445,14.69893326,1.660498127111468
39.5,-0.721410388,14.85054151,0.11355811,12.17512305,13.264237681374476,14.85054151,16.794147562463586,18.72730763,14.85054151,1.686399426352146
40.5,-0.751175223,15.00449143,0.114176956,12.29587074,13.396320365434146,15.00449143,16.98414119828848,18.96385009,15.00449143,1.713167157805487
41.5,-0.778904279,15.16078454,0.114822482,12.41751102,13.529913821805083,15.16078454,17.17749332416437,19.20492292,15.16078454,1.7407989099500283
42.5,-0.804515498,15.31940246,0.115493292,12.54001161,13.664996079964961,15.31940246,17.374158435249356,19.45040584,15.31940246,1.7692882215782981
43.5,-0.828003255,15.48030313,0.116187777,12.66334091,13.80153269286108,15.48030313,17.57406731569697,19.70016918,15.48030313,1.798622007960842
44.5,-0.849380372,15.64343309,0.116904306,12.78746137,13.939480707584872,15.64343309,17.777137124043573,19.95406774,15.64343309,1.8287846888438855
